               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073705,            0.026726,            0.021404,             0.63569,             0.36082,             0.31925,             0.14154,            0.048007,            0.012555,            0.010859,            0.070079,           0.0033246,           0.0033246
                   1,            0.053115,            0.020382,           0.0089732,             0.79929,             0.47596,              0.4841,             0.21784,            0.043764,            0.011053,           0.0082236,            0.040046,            0.006625,            0.006625
                   2,            0.049008,            0.019087,           0.0070323,             0.85735,             0.50206,             0.58471,             0.29492,            0.040418,            0.011108,           0.0063779,           0.0099796,           0.0098924,           0.0098924
                   3,            0.045459,            0.018656,           0.0054426,              0.8527,             0.50377,             0.57751,             0.30478,            0.037704,            0.010554,           0.0047602,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042269,            0.018287,           0.0044135,             0.65945,             0.65408,             0.66147,             0.32346,            0.035508,            0.010224,           0.0034438,           0.0098515,           0.0098515,           0.0098515
                   5,            0.040005,            0.017462,            0.003692,             0.69825,             0.62981,             0.66065,             0.35097,            0.033357,           0.0097962,           0.0022867,            0.009802,            0.009802,            0.009802
                   6,             0.03915,            0.016832,           0.0033229,             0.68547,             0.69133,              0.7204,             0.39298,            0.032855,           0.0095852,            0.002791,           0.0097525,           0.0097525,           0.0097525
                   7,            0.037512,            0.016589,           0.0030414,             0.75749,             0.65522,             0.70081,             0.39114,            0.032211,           0.0093457,           0.0030335,            0.009703,            0.009703,            0.009703
                   8,            0.037155,            0.016149,           0.0024904,             0.74715,               0.657,             0.69833,             0.39096,            0.030229,           0.0095856,           0.0029323,           0.0096535,           0.0096535,           0.0096535
                   9,            0.035642,            0.016103,           0.0024544,             0.85472,             0.76845,             0.83118,             0.43775,            0.029731,           0.0088746,           0.0022589,            0.009604,            0.009604,            0.009604
                  10,            0.034983,            0.015363,           0.0021425,             0.76338,             0.67704,             0.71622,             0.40785,            0.031221,           0.0089599,           0.0018076,           0.0095545,           0.0095545,           0.0095545
                  11,            0.034001,             0.01538,             0.00216,             0.83643,             0.75351,              0.8341,             0.45025,            0.029513,           0.0087006,           0.0012332,            0.009505,            0.009505,            0.009505
                  12,            0.033687,            0.015029,           0.0020875,             0.84468,             0.81411,             0.86611,             0.47794,            0.029279,           0.0085519,           0.0008937,           0.0094555,           0.0094555,           0.0094555
                  13,            0.034135,            0.015597,           0.0022798,             0.76957,             0.76008,             0.77155,             0.43443,            0.029383,           0.0093025,           0.0027094,            0.009406,            0.009406,            0.009406
                  14,            0.033031,            0.014809,           0.0017135,             0.85457,             0.82591,             0.85059,             0.49161,            0.028486,           0.0086016,           0.0020878,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033143,            0.015008,           0.0017039,              0.7946,             0.83047,             0.81774,             0.45984,            0.029196,           0.0082682,           0.0013801,            0.009307,            0.009307,            0.009307
                  16,            0.033416,            0.014658,           0.0019237,             0.84471,              0.8411,             0.85685,             0.45869,            0.029236,           0.0084488,           0.0012488,           0.0092575,           0.0092575,           0.0092575
                  17,            0.032605,            0.014921,           0.0016476,             0.90818,             0.85208,             0.91376,             0.50513,            0.027992,             0.00802,           0.0013276,            0.009208,            0.009208,            0.009208
                  18,            0.031871,            0.014378,           0.0013176,              0.8629,             0.82636,             0.86177,             0.50859,            0.027267,           0.0081127,           0.0017726,           0.0091585,           0.0091585,           0.0091585
                  19,            0.031888,            0.014131,           0.0013425,             0.83286,             0.65525,             0.75802,             0.40794,            0.030757,           0.0099369,            0.002556,            0.009109,            0.009109,            0.009109
                  20,            0.031496,            0.013894,           0.0011859,             0.88709,             0.86038,             0.89729,             0.49715,            0.026303,           0.0079585,           0.0013442,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030833,            0.013933,           0.0012331,             0.90433,             0.81452,               0.883,              0.4944,            0.027834,           0.0083109,           0.0016463,             0.00901,             0.00901,             0.00901
                  22,            0.030687,            0.013493,           0.0010948,             0.91219,             0.83663,             0.92444,               0.546,            0.027156,           0.0077562,          0.00088273,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03045,            0.013484,           0.0012641,             0.81798,             0.88625,             0.88975,              0.5287,            0.026147,           0.0077917,          0.00078742,            0.008911,            0.008911,            0.008911
                  24,            0.029851,            0.013678,           0.0012239,             0.84923,             0.85669,             0.87003,             0.49801,             0.02722,           0.0079278,           0.0013048,           0.0088615,           0.0088615,           0.0088615
                  25,            0.029924,            0.013433,           0.0011575,             0.97398,             0.83196,             0.92417,             0.54772,            0.026851,           0.0079134,          0.00067622,            0.008812,            0.008812,            0.008812
                  26,            0.029922,            0.013583,           0.0011182,             0.90718,             0.89896,             0.93654,             0.53525,             0.02606,           0.0076414,          0.00085984,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029457,            0.013348,          0.00092999,             0.93599,             0.87179,             0.93712,              0.5475,            0.026912,           0.0076407,          0.00092598,            0.008713,            0.008713,            0.008713
                  28,            0.029425,            0.013241,           0.0011449,             0.90644,             0.94124,             0.95843,             0.57428,            0.026272,            0.007526,           0.0008169,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029259,            0.013334,          0.00096228,             0.92372,             0.86494,             0.90912,             0.54632,            0.026005,            0.007802,          0.00086483,            0.008614,            0.008614,            0.008614
                  30,            0.029098,             0.01316,          0.00099239,             0.91274,             0.83596,             0.90367,             0.54503,            0.026252,           0.0079177,          0.00059353,           0.0085645,           0.0085645,           0.0085645
                  31,            0.028957,            0.012829,          0.00086321,             0.90619,              0.8891,             0.93211,             0.56134,            0.026327,           0.0077253,          0.00055586,            0.008515,            0.008515,            0.008515
                  32,            0.029133,            0.012879,          0.00084515,             0.91084,             0.89478,             0.95089,             0.57163,            0.025691,           0.0075816,          0.00091808,           0.0084655,           0.0084655,           0.0084655
                  33,            0.028273,            0.013143,            0.001012,             0.91024,             0.84866,             0.94668,             0.56936,             0.02567,           0.0075921,           0.0012283,            0.008416,            0.008416,            0.008416
                  34,            0.028553,            0.012764,           0.0010293,             0.94052,             0.87075,             0.91208,             0.55835,            0.026249,           0.0077571,           0.0010538,           0.0083665,           0.0083665,           0.0083665
                  35,            0.028253,             0.01301,          0.00091584,             0.96955,             0.85812,              0.9571,             0.56582,            0.025665,           0.0073807,           0.0011964,            0.008317,            0.008317,            0.008317
                  36,            0.027768,            0.012993,          0.00084103,             0.89584,             0.81183,             0.90265,             0.53888,             0.02561,           0.0075567,           0.0013011,           0.0082675,           0.0082675,           0.0082675
                  37,            0.027516,            0.012599,          0.00086801,             0.96706,             0.88724,             0.94845,             0.56365,            0.026231,           0.0075763,           0.0011161,            0.008218,            0.008218,            0.008218
                  38,            0.027813,            0.012524,          0.00068853,              0.8864,             0.91339,             0.92273,             0.56447,            0.026044,           0.0075047,           0.0013243,           0.0081685,           0.0081685,           0.0081685
                  39,            0.027593,            0.012557,          0.00062258,             0.99343,             0.84685,             0.93543,             0.56058,             0.02694,           0.0073554,          0.00096856,            0.008119,            0.008119,            0.008119
                  40,            0.028104,            0.012573,          0.00091878,             0.96624,             0.84896,             0.91631,             0.56817,            0.025193,           0.0078134,           0.0022739,           0.0080695,           0.0080695,           0.0080695
                  41,            0.027546,            0.012545,           0.0010884,              0.9507,             0.84836,             0.91962,             0.57565,            0.025355,           0.0076421,           0.0017814,             0.00802,             0.00802,             0.00802
                  42,            0.027815,            0.012555,          0.00069142,             0.96128,             0.86192,             0.93704,             0.58697,            0.026676,           0.0076053,           0.0019111,           0.0079705,           0.0079705,           0.0079705
                  43,            0.027294,             0.01251,            0.000703,             0.93833,             0.90036,             0.95372,             0.58684,            0.025829,           0.0075774,           0.0016274,            0.007921,            0.007921,            0.007921
                  44,            0.027443,            0.012474,          0.00088269,             0.95842,             0.89892,             0.95164,             0.59157,            0.025671,           0.0074719,           0.0011842,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026896,            0.012401,           0.0007952,             0.93202,             0.92058,             0.93424,             0.56488,            0.026303,           0.0077251,          0.00087024,            0.007822,            0.007822,            0.007822
                  46,            0.027223,            0.012186,          0.00083175,             0.94523,             0.91091,             0.95846,             0.59508,            0.025746,           0.0074509,           0.0012794,           0.0077725,           0.0077725,           0.0077725
                  47,            0.027353,            0.012148,          0.00097456,             0.94548,             0.91607,             0.95974,             0.61065,            0.024951,            0.007269,          0.00041463,            0.007723,            0.007723,            0.007723
                  48,            0.027112,            0.012163,          0.00069432,             0.88042,             0.90236,             0.93755,             0.59637,            0.025764,           0.0074839,          0.00078591,           0.0076735,           0.0076735,           0.0076735
